LABORATORY,FSRI 
TEST IDENT,MFCP_HF25_3
OPERATOR,Dow
MATERIAL,Memory foam carpet pad
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.039023857563734055
SPEC HOLDER DIFF,-566
SPECIMEN MASS,16.420000076293945
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,979
TIME TO IGN,9.75
END OF TEST SCAN,499
END OF TEST TIME,124.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.12 x 103.02 x 12.87 mm
POST TEST CMT,"Corners of foil pan lifted upwards during fire decay stage, beginning less than 10 seconds before flames extinguished. "
