LABORATORY,FSRI 
TEST IDENT,MFCP_HF75_3
OPERATOR,Dow
MATERIAL,Memory foam carpet pad
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.039023857563734055
SPEC HOLDER DIFF,-566
SPECIMEN MASS,15.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,675
TIME TO IGN,1.25
END OF TEST SCAN,195
END OF TEST TIME,48.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.51 x 102.80 x 12.52 mm
POST TEST CMT,"Corners of foil pan lifted upwards during fire decay stage, beginning less than 5 seconds before flames extinguished. "
