LABORATORY,FSRI 
TEST IDENT,MFCP_HF25_1
OPERATOR,Dow
MATERIAL,Memory foam carpet pad
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.039023857563734055
SPEC HOLDER DIFF,-566
SPECIMEN MASS,16.739999771118164
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,992
TIME TO IGN,10.75
END OF TEST SCAN,512
END OF TEST TIME,128
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.20 x 101.87 x 12.58 mm
POST TEST CMT,"Corners of foil pan lifted upwards during fire decay stage, beginning less than 10 seconds before flames extinguished. "
