LABORATORY,FSRI 
TEST IDENT,MFCP_HF75_2
OPERATOR,Dow
MATERIAL,Memory foam carpet pad
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.039023857563734055
SPEC HOLDER DIFF,-566
SPECIMEN MASS,16.290000915527344
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,701
TIME TO IGN,1.5
END OF TEST SCAN,221
END OF TEST TIME,55.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.09 x 99.55 x 12.75 mm
POST TEST CMT,"Corners of foil pan lifted upwards during fire decay stage, beginning less than 5 seconds before flames extinguished. "
