LABORATORY,FSRI 
TEST IDENT,PUF-HF25-3
OPERATOR,Morrissey
MATERIAL,1'' PUF
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-86.60000610351562
SPECIMEN MASS,7.800000190734863
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,937
TIME TO IGN,5.75
END OF TEST SCAN,457
END OF TEST TIME,114.25
TEST STATUS,1
PRE TEST CMT,test w/o retainer grid or frame
POST TEST CMT,Corner lifted with 20 seconds till burn out
