LABORATORY,FSRI 
TEST IDENT,FaceSheild_HF75_1
OPERATOR,Dow
MATERIAL,Phoenix Arizona Face Shield
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03776770830154419
SPEC HOLDER DIFF,378.510009765625
SPECIMEN MASS,57.2599983215332
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,722
TIME TO IGN,47.5
END OF TEST SCAN,242
END OF TEST TIME,60.5
TEST STATUS,1
,
POST TEST CMT,Sample was removed 10s after ignition and test was ended.
