,Surface Area (mm^2),Pretest,Posttest
HF15-noSpark_R1,10000.00,no spark ignitor. end test at MLR less than 2.5 g/m^2/s or 20 min,MLR did not exceed 1.0 g/min
HF15-noSpark_R2,10000.00,no spark ignitor. end test at 20 min, 
HF15-noSpark_R3,10000.00,no spark ignitor. end test at 20 min, 
HF25-Frame+Grid_R1,8836.00, , 
HF25-Frame+Grid_R2,8836.00, , 
HF25-Frame+Grid_R3,8836.00, , 
HF25_R1,8836.00,no retainer frame or grid, 
HF25_R2,8836.00,Test w/o retainer frame or foil., 
HF25_R3,10000.00,Tests w/o retainer foil., 
HF25_R4,10302.25,Dimensions: 101.53 x 101.47 x 3.04 mm,"Sample warped prior to ignition and contacted the spark ignitor, causing spike in mass data. Close proximity to spark ignitor likely shortened time to ignition. See test pictures. "
HF25_R5,10314.43,Dimensions: 101.60 x 101.52 x 3.10 mm; 60 mm spacing,"Sample warped and shriveled prior to ignition, then melted into a pool fire after ignition. No dripping from foil pan."
HF25_R6,10333.63,Dimensions: 101.99 x 101.32 x 3.11 mm; 60 mm spacing,"Sample warped and shriveled prior to ignition, then melted into a pool fire after ignition. No dripping from foil pan."
HF35-Frame+Grid_R1,8836.00, , 
HF35-Frame+Grid_R2,8836.00, , 
HF35-Frame+Grid_R3,8836.00, , 
HF50-Frame+Grid_R1,8836.00, , 
HF50-Frame+Grid_R2,8836.00, , 
HF50-Frame+Grid_R3,8836.00, , 
HF50_R1,8836.00,without frame or grid, 
HF50_R2,8836.00,test w/o frame or grid, 
HF50_R3,8836.00,test w/o frame or grid,spike in mass loss rate caused by sample popping 
HF50_R4,10313.42,Dimensions: 101.52 x 101.59 x 2.97 mm; 60 mm spacing,"Some sample dripped from foil pan during test, and continued burning from lower drip tray. Less so than in previous replicates. See test pictures. "
HF75-Frame+Grid_R1,8836.00, , 
HF75-Frame+Grid_R2,8836.00, , 
HF75-Frame+Grid_R3,8836.00, , 
HF75_R1,8836.00,Test w/o retainer grid or frame, 
HF75_R2,8836.00,Test w/o retainer grid or frame,Sample had to be adjusted several times due to popping and settling causing pieces to fall
HF75_R3,8836.00,without retainer frame or grid, 
