LABORATORY,FSRI 
TEST IDENT,Stack_HF50_3
OPERATOR,Morrissey
MATERIAL,"1"" PUF, 1.75"" PE Batting, PE Fabric"
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-97
SPECIMEN MASS,15.869999885559082
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,920
TIME TO IGN,13
END OF TEST SCAN,440
END OF TEST TIME,110
TEST STATUS,1
PRE TEST CMT,test w/o grid or frame
POST TEST CMT,foiled folded near end of test. Fabric folded onto spark igniter causing weigh system spike.
