LABORATORY,FSRI 
TEST IDENT,FurnitureStack_H25_3
OPERATOR,Morrissey
MATERIAL,1'' PUF-1.75''PEBat-PEFabric
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-87.76998901367188
SPECIMEN MASS,16.100000381469727
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1401
TIME TO IGN,62.25
END OF TEST SCAN,921
END OF TEST TIME,230.25
TEST STATUS,1
PRE TEST CMT,Test w/o retainer grid or frame
POST TEST CMT,Fabric was consistent with other tests.
