LABORATORY,FSRI 
TEST IDENT,Tyvek_HF25_1
OPERATOR,Dow
MATERIAL,Tyvek
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.008840000256896019
C FACTOR,0.03971550241112709
SPEC HOLDER DIFF,-566
SPECIMEN MASS,0.6700000166893005
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2884
TIME TO IGN,0
END OF TEST SCAN,2404
END OF TEST TIME,601
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.07 x 101.30 x 0.12 mm; with frame; with calcium silicate substrate
POST TEST CMT,The sample shriveled and did not ignite.
