LABORATORY,FSRI 
TEST IDENT,Tyvek_HF25_2
OPERATOR,Dow
MATERIAL,Tyvek
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.008840000256896019
C FACTOR,0.03971550241112709
SPEC HOLDER DIFF,-566
SPECIMEN MASS,0.6499999761581421
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2886
TIME TO IGN,0
END OF TEST SCAN,2406
END OF TEST TIME,601.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.98 x 101.58 x 0.11 mm; with frame; with calcium silicate substrate
POST TEST CMT,The sample shriveled and did not ignite. Ended test after 10 minutes.
