LABORATORY,FSRI 
TEST IDENT,PMMA_HF25
OPERATOR,Dow
MATERIAL,Black PMMA
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04248954728245735
SPEC HOLDER DIFF,-566
SPECIMEN MASS,101.43000030517578
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3045
TIME TO IGN,102.25
END OF TEST SCAN,2565
END OF TEST TIME,641.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.14 x 100.87 x 8.32 mm
POST TEST CMT,sample slightly preheated due to false start with shutter
