LABORATORY,FSRI 
TEST IDENT,XPS_Foam_HF25_2
OPERATOR,Dow
MATERIAL,XPS Foam Insulation
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04070454463362694
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.559999942779541
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1536
TIME TO IGN,161.75
END OF TEST SCAN,1056
END OF TEST TIME,264
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.26 x 101.30 x 25.69 mm
POST TEST CMT,"Immediately after the start of the test the sample began to shrivel, then melt. Formed a small liquid pool prior to ignition. See test pictures."
