LABORATORY,FSRI 
TEST IDENT,XPS_Foam_HF25_1
OPERATOR,Dow
MATERIAL,XPS Foam Insulation
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04070454463362694
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.699999809265137
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1489
TIME TO IGN,147.25
END OF TEST SCAN,1009
END OF TEST TIME,252.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.25 x 102.03 x 25.97 mm
POST TEST CMT,"Immediately after the start of the test the sample began to shrivel, then melt. "
