#EXPORTTYPE,NGB PARSER
#FILE,134B_Rubber_STA_N2_10K_250911_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,134B_Rubber_10K_R1
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2025-09-11T20:35:44+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Rubber surround from MSA G1 facepiece.
Sample vial label: ""134B_Rubber August 15, 2025""
Large black clumps.
Poor contact of sample with bottom of pan - less than 50% covered and peeling up from bottom.
Lid slightly to right compared to correc."
#SAMPLE,134B_Rubber
#SAMPLE MASS/mg,4.08
#MATERIAL,134B_Rubber
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,263.46
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
