LABORATORY,FSRI 
TEST IDENT,PP_HF50_2
OPERATOR,Dow
MATERIAL,polypropylene
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,304.05999755859375
SPECIMEN MASS,28.600000381469727
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1093
TIME TO IGN,32.25
END OF TEST SCAN,613
END OF TEST TIME,153.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.01 x 98.35 x 3.04 mm
POST TEST CMT,some sample dripped from foil pan
