LABORATORY,FSRI 
TEST IDENT,PP_HF75_2
OPERATOR,Dow
MATERIAL,polypropylene
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,302.71002197265625
SPECIMEN MASS,28.799999237060547
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,954
TIME TO IGN,17.5
END OF TEST SCAN,474
END OF TEST TIME,118.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.03 x 99.34 x 3.04 mm
POST TEST CMT,"sample dripped from foil pan during test, see test pictures"
