LABORATORY,FSRI 
TEST IDENT,Vinyl_Tile_HF75_4
OPERATOR,Dow
MATERIAL,vinyl tile
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.041460584849119186
SPEC HOLDER DIFF,-566
SPECIMEN MASS,53.29999923706055
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,725
TIME TO IGN,14.25
END OF TEST SCAN,245
END OF TEST TIME,61.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.04 x 100.96 x 2.61 mm; with frame; focus on time to ignition
POST TEST CMT,Test ended at 1 minute. Sample surface became elevated after ignition due to expanding gases between the bottom surface of the sample and the foil pan. 
