LABORATORY,FSRI 
TEST IDENT,Vinyl_Tile_HF25_3
OPERATOR,Dow
MATERIAL,Vinyl Tile
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.00884
C FACTOR,0.038662128150463104
SPEC HOLDER DIFF,-566
SPECIMEN MASS,53.08000183105469
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1752
TIME TO IGN,102.5
END OF TEST SCAN,1272
END OF TEST TIME,318
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.31 x 101.32 x 2.54 mm; with frame and grid
POST TEST CMT,Gases beneath the sample created bubbles that pushed the sample upwards against the grid.
