LABORATORY,FSRI 
TEST IDENT,Part_Board_HF25_R4
OPERATOR,Marino
MATERIAL,Particle Board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03871383145451546
SPEC HOLDER DIFF,-566
SPECIMEN MASS,136.1699981689453
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7217
TIME TO IGN,140.5
END OF TEST SCAN,6737
END OF TEST TIME,1684.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.32 x 101.85 x 19.44 mm; with tie wires
POST TEST CMT,Momentary ignition occured ~2 seconds before sustained ignition. Sample charred and reduced in surface area.
