LABORATORY,FSRI 
TEST IDENT,Part_Board_HF50_R2
OPERATOR,Marino
MATERIAL,Particle Board
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03871383145451546
SPEC HOLDER DIFF,-566
SPECIMEN MASS,136.42999267578125
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5948
TIME TO IGN,31.75
END OF TEST SCAN,5468
END OF TEST TIME,1367
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.88 x 101.47 x 19.36 mm; with tie wires
POST TEST CMT,Mass loss spiked at begining of test due to closing of hood. Sample charred and reduced in surface area. Surface of sample fractured. Smoke measurement laser was out of alignment during test.
