0,1
#EXPORTTYPE:                 ,DATA COMPARE                                                                                                        
#FILE:                       ,SE_Plywood_STA_N2_30K_230729_R2.ngb-ss3                                                                             
#FORMAT:                     ,NETZSCH5                                                                                                            
#FTYPE:                      ,ANSI                                                                                                                
#IDENTITY:                   ,SE_Plywood                                                                                                          
#DECIMAL:                    ,POINT                                                                                                               
#SEPARATOR:                  ,COMMA                                                                                                               
#MTYPE:                      ,DSC                                                                                                                 
#INSTRUMENT:                 ,NETZSCH STA 449F3                                                                                                   
#PROJECT:                    ,NIJ 2019                                                                                                            
#DATE/TIME:                  ,7/29/2023 19:39:02 (UTC-4)                                                                                          
#CORR. FILE:                 ,                                                                                                                    
#TEMPCAL:                    ,28-07-2023 12:55                                                                                                    
#SENSITIVITY:                ,28-07-2023 15:24                                                                                                    
#LABORATORY:                 ,UL FSRI                                                                                                             
#OPERATOR:                   ,Grayson                                                                                                             
#REMARK:                     ,Plywood used for smoke explosion tests
#SAMPLE:                     ,SE_Plywood                                                                                                          
#SAMPLE MASS /mg:            ,4.01                                                                                                                
#MATERIAL:                   ,Plywood                                                                                                             
#REFERENCE:                  ,                                                                                                                    
#REFERENCE MASS /mg:         ,0                                                                                                                   
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,234.37                                                                                                              
#REFERENCE CRUCIBLE MASS /mg:,246.46                                                                                                              
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                                                                                                
#TG RANGE /mg:               ,35000                                                                                                               
#TAU-R:                      ,---                                                                                                                 
#CORR. CODE:                 ,000                                                                                                                 
#EXO:                        ,-1                                                                                                                  
#RANGE:                      ,28°C....700°C/0.0....30.0K/min                                                                                      
#SEGMENT:                    ,S1-3/3                                                                                                              
#SEG. 1:                     ,28°C/00:20/28°C                                                                                                     
#SEG. 2:                     ,28°C/30.0(K/min)/700°C                                                                                              
#SEG. 3:                     ,700°C/00:10/700°C                                                                                                   
