LABORATORY,FSRI 
TEST IDENT,Nylon_HF50_1
OPERATOR,Dow
MATERIAL,Nylon
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,303.739990234375
SPECIMEN MASS,36.400001525878906
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1520
TIME TO IGN,67.25
END OF TEST SCAN,1040
END OF TEST TIME,260
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.55 x 99.80 x 3.00 mm; 60 mm spacing 
POST TEST CMT,Minor spilled out of foil pan into lower drip tray.
