LABORATORY,FSRI 
TEST IDENT,Nylon_HF50_2
OPERATOR,Dow
MATERIAL,Nylon
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,304.53997802734375
SPECIMEN MASS,36.599998474121094
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1631
TIME TO IGN,69.75
END OF TEST SCAN,1151
END OF TEST TIME,287.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.89 x 99.87 x 2.99 mm; 60 mm spacing
POST TEST CMT,Minor spill out of foil pan into lower drip tray.
