LABORATORY,FSRI 
TEST IDENT,Standard_Gypsum_75_2
OPERATOR,Dow
MATERIAL,Standard Gypsum
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04185835272073746
SPEC HOLDER DIFF,-566
SPECIMEN MASS,77.93000030517578
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,625
TIME TO IGN,17
END OF TEST SCAN,145
END OF TEST TIME,36.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 103.76 x 103.00 x 12.67 mm
POST TEST CMT,"The gypsum paper continued to have a glowing orange color after the flame self-extinguished, however the test was ended because there was no longer ignition."
