LABORATORY,FSRI 
TEST IDENT,Standard_Gypsum_25_3
OPERATOR,Dow
MATERIAL,Standard Gypsum
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04185835272073746
SPEC HOLDER DIFF,-566
SPECIMEN MASS,80.38999938964844
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2882
TIME TO IGN,0
END OF TEST SCAN,2402
END OF TEST TIME,600.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.36 x 102.77 x 12.77 mm
POST TEST CMT,"The gypsum paper turned a dark color before shriveling and curling upwards. As it curled, the paper turned a glowing orange color, however there was no ignition. Test ended after 10 minutes."
