LABORATORY,FSRI 
TEST IDENT,Cellulose_Ins_HF50_1
OPERATOR,Dow
MATERIAL,cellulose insulation
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.039478302001953125
SPEC HOLDER DIFF,-566
SPECIMEN MASS,17.739999771118164
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7688
TIME TO IGN,0
END OF TEST SCAN,7208
END OF TEST TIME,1802
TEST STATUS,1
PRE TEST CMT,Dimensions: 94.3 x 96.8 x 30.8 mm
POST TEST CMT,No ignition. Test ended after 30 minutes.
