LABORATORY,FSRI 
TEST IDENT,PVC_HF25_1
OPERATOR,Dow
MATERIAL,PVC
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,305.5999755859375
SPECIMEN MASS,46.099998474121094
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1455
TIME TO IGN,204.75
END OF TEST SCAN,975
END OF TEST TIME,243.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.65 x 100.90 x 3.09 mm; 60 mm spacing
POST TEST CMT, Self extinguished after full surface burning. Unburned sample remained.
