LABORATORY,FSRI 
TEST IDENT,UL FSRI TF Fuel 3-1
OPERATOR,DM
MATERIAL,0.525 inch thick pallet wood
ORIENTATION,Horizontal
HEAT FLUX,35
SURF AREA,0.01
C FACTOR,0.03923798
SPEC HOLDER DIFF,350.8400269
SPECIMEN MASS,57
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3947
TIME TO IGN,54.75
END OF TEST SCAN,3467
END OF TEST TIME,866.75
TEST STATUS,1
PRE TEST CMT,"Training Fire Wood Pallet IFSI 2016, wood has a smooth finish , with grid"
POST TEST CMT,"several embers popping out of sample, approx 7% moisture content"
