LABORATORY,FSRI 
TEST IDENT,UL FSRI TF Fuel 3-2
OPERATOR,DM
MATERIAL,0.525 inch thick pallet wood
ORIENTATION,Horizontal
HEAT FLUX,35
SURF AREA,0.01
C FACTOR,0.03923798
SPEC HOLDER DIFF,341.6799927
SPECIMEN MASS,57.63999939
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3419
TIME TO IGN,51
END OF TEST SCAN,2939
END OF TEST TIME,734.75
TEST STATUS,1
PRE TEST CMT,"Board from solid hardwood pallet, Training Fires IFSI 2016, smooth surface, approx 7% MC, with Grid  "
