LABORATORY,FSRI 
TEST IDENT,Polyiso_Foam_HF75_3
OPERATOR,Dow
MATERIAL,Polyisocyanurate Foam Board
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03977454826235771
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.239999771118164
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1031
TIME TO IGN,0.25
END OF TEST SCAN,551
END OF TEST TIME,137.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.11 x 101.41 x 23.16 mm; with tie wires; top foil layer of sample removed
