LABORATORY,FSRI 
TEST IDENT,Polyiso_Foam_HF25_R1
OPERATOR,Dow
MATERIAL,Polyisocyanurate Foam Board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0400330014526844
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.920000076293945
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,8311
TIME TO IGN,0
END OF TEST SCAN,7831
END OF TEST TIME,1957.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.19 x 100.56 x 22.61 mm; with tie wires
POST TEST CMT,No ignition
