LABORATORY,FSRI 
TEST IDENT,Polyiso_Foam_HF25_R2
OPERATOR,Dow
MATERIAL,Polyisocyanurate Foam Board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0400330014526844
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.139999866485596
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,745
TIME TO IGN,3
END OF TEST SCAN,265
END OF TEST TIME,66.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.79 x 101.47 x 23.70 mm; with tie wires; top foil layer of sample removed
