LABORATORY,FSRI 
TEST IDENT,Polyiso_Foam_HF25_R3
OPERATOR,Dow
MATERIAL,Polyisocyanurate Foam Board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04004212096333504
SPEC HOLDER DIFF,-566
SPECIMEN MASS,6.940000057220459
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1211
TIME TO IGN,2.25
END OF TEST SCAN,731
END OF TEST TIME,182.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.05 x 101.58 x 23.15 mm; with tie wires; top foil layer of sample removed
POST TEST CMT,After peak burning there remained small flames between one edge of the sample and the foil pan. 
