0,1
#EXPORTTYPE:                 ,DATA COMPARE                            
#FILE:                       ,EIFS_Coating_STA_N2_3K_230915_R1.ngb-ss3
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ANSI                                    
#IDENTITY:                   ,3K_1                                    
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,DSC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F3                       
#PROJECT:                    ,NIJ 2019                                
#DATE/TIME:                  ,9/15/2023 18:11:05 (UTC-4)              
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,15-09-2023 06:14                        
#SENSITIVITY:                ,15-09-2023 06:27                        
#LABORATORY:                 ,UL FSRI                                 
#OPERATOR:                   ,Grayson                                 
#REMARK:                     ,3K_1                                    
#SAMPLE:                     ,3K_1                                    
#SAMPLE MASS /mg:            ,4.05                                    
#MATERIAL:                   ,EIFS Coating                            
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,238.37                                  
#REFERENCE CRUCIBLE MASS /mg:,246.46                                  
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,40°C....900°C/0.0....3.0K/min           
#SEGMENT:                    ,S1-3/3                                  
#SEG. 1:                     ,40°C/00:10/40°C                         
#SEG. 2:                     ,40°C/3.0(K/min)/900°C                   
#SEG. 3:                     ,900°C/00:05/900°C                       
