#EXPORTTYPE,NGB PARSER
#FILE,126E_Honeywell_Helmet_Edging_STA_N2_10K_250521_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,126E_Honeywell_Edging
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2025-05-21T16:09:30+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Rubber edging fromt he Honewell fire helmet.
Sample vial label: ""126E_Honeywell_Helmet_Edging April 24, 2025 Vial 1 of 2""
Coarse black powder."
#SAMPLE,126E_Honeywell_Edging
#SAMPLE MASS/mg,3.93
#MATERIAL,126E_Honeywell_Edgin
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,260.06
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
