LABORATORY,FSRI 
TEST IDENT,PEVA_HF75_R3
OPERATOR,Dow
MATERIAL,polyethylene vinyl acetate shower curtain
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.039727065712213516
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3.369999885559082
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,578
TIME TO IGN,3.25
END OF TEST SCAN,98
END OF TEST TIME,24.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 103 x 105 x 0.28 mm; with calcium silicate substrate; secured to substrate by a staple in each corner
