LABORATORY,FSRI 
TEST IDENT,Cellulose_Ins_HF75_1
OPERATOR,Dow
MATERIAL,cellulose insulation
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.039478302001953125
SPEC HOLDER DIFF,-566
SPECIMEN MASS,20.469999313354492
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7711
TIME TO IGN,0
END OF TEST SCAN,7231
END OF TEST TIME,1807.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 97.9 x 97.8 x 38.7 mm
POST TEST CMT,No ignition. Test ended after 30 minutes.
