LABORATORY,FSRI 
TEST IDENT,RFPI_HF25_2
OPERATOR,Dow
MATERIAL,Rubber Foam Pipe Insulation
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03706778958439827
SPEC HOLDER DIFF,-83.10000610351562
SPECIMEN MASS,6.800000190734863
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,699
TIME TO IGN,3.75
END OF TEST SCAN,219
END OF TEST TIME,54.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100 x 104 x 13 mm
POST TEST CMT,"Sample warped immediately after ignition, elevating surface height. Sample contacted spark ignitor causing spike in mass data. Sample shriveled horizontally, reducing surface area. "
