,Surface Area (mm^2),Pretest,Posttest
HF15-noSpark_R1,10000.00,no spark ignitor. end test at MLR less than 2.5 g/m^2/s or 20 min,MLR did not exceed 1.0 g/min
HF15-noSpark_R2,10000.00,no spark ignitor. end test at 20 min, 
HF15-noSpark_R3,10000.00,no spark ignitor. end test at 20 min, 
HF25-Frame+Grid_R1,8836.00, , 
HF25-Frame+Grid_R2,8836.00, , 
HF25-Frame+Grid_R3,8836.00,Dimensions: 100.10 x 99.83 x 5.94 mm, 
HF25-Frame_R2,8836.00,Dimensions: 99.61 x 99.77 x 5.94 mm,After ignition the sample expanded vertically several centimeters above starting surface height. See test pictures. 
HF25_R1,9960.00,Dimensions: 100.0 x 99.6 x 2.91 mm, 
HF25_R2,9982.01,Dimensions: 99.91 x 99.91 x 2.92 mm, 
HF25_R3,10002.00,Dimensions: 99.96 x 100.06 x 2.94 mm,Sample slightly expanded prior to ignition and touched the spark ignitor causing a spike in mass data. Did not appear to affect time to ignition.
HF25_R4,10298.19,Dimensions: 101.48 x 101.48 x 6.80 mm; 60 mm spacing,Minor sampling dripping from foil pan prior to ignition. Sample expanded vertically after ignition. See test pictures.
HF25_R5,10307.32,Dimensions: 101.60 x 101.45 x 6.70 mm; 60 mm spacing,Sample expanded vertically after ignition. See post test pictures.
HF25_R6,10333.63,Dimensions: 101.99 x 101.32 x 3.11 mm; 60 mm spacing,"Sample warped and shriveled prior to ignition, then melted into a pool fire after ignition. No dripping from foil pan."
HF35-Frame+Grid_R1,8836.00, , 
HF35-Frame+Grid_R2,8836.00, , 
HF35-Frame+Grid_R3,8836.00, , 
HF50-Frame+Grid_R1,8836.00,Dimensions: 100.44 x 99.57 x 6.06 mm; with frame and grid, 
HF50-Frame+Grid_R2,8836.00,Dimensions: 99.50 x 100.27 x 6.05 mm; with frame and grid, 
HF50-Frame+Grid_R3,8836.00,Dimensions: 100.26 x 99.94 x 6.02 mm; with frame and grid, 
HF50_R1,9991.98,Dimensions: 99.80 x 100.12 x 2.93 mm, 
HF50_R2,10007.00,Dimensions: 100.03 x 100.04 x 2.91 mm, 
HF50_R3,9977.01,Dimensions: 99.95 x 99.82 x 2.93 mm, 
HF50_R4,10313.42,Dimensions: 101.52 x 101.59 x 2.97 mm; 60 mm spacing,"Some sample dripped from foil pan during test, and continued burning from lower drip tray. Less so than in previous replicates. See test pictures. "
HF75-Frame+Grid_R1,8836.00,Dimensions: 100.8 x 99.90 x 5.88 mm; with frame and grid, 
HF75-Frame+Grid_R2,8836.00,Dimensions: 100.09 x 100.78 x 5.98 mm; with frame and grid, 
HF75-Frame+Grid_R3,8836.00,Dimensions: 100.47 x 100.15 x 5.94 mm; with frame and grid, 
HF75_R1,9980.00,Dimensions: 100.02 x 99.78 x 2.85 mm, 
HF75_R2,9971.99,Dimensions: 99.70 x 100.02 x 2.83 mm, 
HF75_R3,9976.01,Dimensions: 99.95 x 99.81 x 2.84 mm, 
