LABORATORY,FSRI 
TEST IDENT,R30Insulation_HF25_1
OPERATOR,Dow
MATERIAL,R30 Fiberglass Insulation
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.041122306138277054
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7798
TIME TO IGN,0
END OF TEST SCAN,7318
END OF TEST TIME,1829.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 97 x 101 x 45 mm
POST TEST CMT,No ignition. Test ended after 30 minutes.
