LABORATORY,FSRI 
TEST IDENT,PE_FPI_HF50_3
OPERATOR,Dow
MATERIAL,PE Foam Pipe Insulation
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03914763405919075
SPEC HOLDER DIFF,-566
SPECIMEN MASS,5.050000190734863
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,723
TIME TO IGN,3.5
END OF TEST SCAN,243
END OF TEST TIME,60.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.79 x 99.34 x 11.13 mm
POST TEST CMT,"Immediately after ignition the sample corners rose and curled towards the center. Then the sample melted and spread out, with flames filling the entire foil pan. "
