LABORATORY,FSRI 
TEST IDENT,PE_FPI_HF75_1
OPERATOR,Dow
MATERIAL,PE Foam Pipe Insulation
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03914763405919075
SPEC HOLDER DIFF,-566
SPECIMEN MASS,5.170000076293945
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,670
TIME TO IGN,1.25
END OF TEST SCAN,190
END OF TEST TIME,47.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.78 x 101.00 x 11.30 mm
POST TEST CMT,"Immediately after ignition the sample corners rose and curled towards the center. Then the sample melted and spread out, with flames filling the entire foil pan. "
