LABORATORY,FSRI 
TEST IDENT,PE_FPI_HF25_1
OPERATOR,Dow
MATERIAL,PE Foam Pipe Insulation
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.039002254605293274
SPEC HOLDER DIFF,-566
SPECIMEN MASS,4.800000190734863
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,963
TIME TO IGN,35.5
END OF TEST SCAN,483
END OF TEST TIME,120.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.12 x 101.42 x 10.39 mm
POST TEST CMT,"Prior to ignition, sample corners rose and curled towards the center. The sample impacted the spark ignitor, possibly causing a spike in mass data. After ignition, the sample melted and spread out, with flames filling the entire foil pan.  See test pictures."
