LABORATORY,FSRI 
TEST IDENT,PEVA_HF75_R2
OPERATOR,Dow
MATERIAL,polyethylene vinyl acetate shower curtain
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.039727065712213516
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3.2100000381469727
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,562
TIME TO IGN,4
END OF TEST SCAN,82
END OF TEST TIME,20.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 103 x 103 x 0.28 mm; with calcium silicate substrate; secured to substrate by a staple in each corner
