LABORATORY,FSRI 
TEST IDENT,PEVA_HF25_R2
OPERATOR,Dow
MATERIAL,polyethylene vinyl acetate shower curtain
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.039727065712213516
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3.259999990463257
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,644
TIME TO IGN,12.75
END OF TEST SCAN,164
END OF TEST TIME,41
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.5 x 102 x 0.26 mm; with calcium silicate substrate; secured to substrate by a staple in each corner
