LABORATORY,FSRI 
TEST IDENT,TREX_HF25_1
OPERATOR,Dow
MATERIAL,TREX board
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0390549898147583
SPEC HOLDER DIFF,-566
SPECIMEN MASS,146.16000366210938
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,10153
TIME TO IGN,170
END OF TEST SCAN,9673
END OF TEST TIME,2418.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.11 x 101.51 x 13.10 mm
POST TEST CMT,Burning along edges during decay phase.
