#EXPORTTYPE,NGB PARSER
#FILE,Bmore_Helmet_Bourke_STA_N2_30K_240304_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,Bmore_Helmet_Bourke
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2024-03-04T17:56:41+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Bourke from Bmore Fire Cairns Helmet.
Mark started correction.
Lid somewhat warped; not sure how well it will seal.
Forgot to check crucible/lid alignment before removing from furnace; Centered crucible and lid to existing reference marks."
#SAMPLE,Bmore_Helmet_Bourke
#SAMPLE MASS/mg,4.0
#MATERIAL,Bmore_Helmet_Bourke
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,254.0399932861328
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
