LABORATORY,FSRI 
TEST IDENT,R13Insulation_HF75_2
OPERATOR,Dow
MATERIAL,R13 Fiberglass Insulation (pink)
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.041426774114370346
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.159999847412109
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2906
TIME TO IGN,0
END OF TEST SCAN,2426
END OF TEST TIME,606.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.6 x 100.1 x 30.4 mm
POST TEST CMT,"Sample gradually shrivelled throughout the test (see post test pictures). No ignition. Test ended after 10 minutes. No mass loss after 10 minutes in replicate R1. 
"
