LABORATORY,FSRI 
TEST IDENT,R13Insulation_HF50_3
OPERATOR,Dow
MATERIAL,R13 Fiberglass Insulation (pink)
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.041426774114370346
SPEC HOLDER DIFF,-566
SPECIMEN MASS,6.230000019073486
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2886
TIME TO IGN,0
END OF TEST SCAN,2406
END OF TEST TIME,601.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 97.1 x 97.2 x 30.7 mm
POST TEST CMT,No ignition. Test ended after 10 minutes. No mass loss after 10 minutes in replicate R1. 
