##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.)/(mW/mg),Sensit./(uV/mW)
49.252,10.01,-0.04026,0.01126795,1.07447
49.352,10.41755,-0.04290918,0.01569345,1.07447
49.452,10.51855,-0.04282777,0.01969419,1.07446
49.552,10.59048,-0.04106049,0.02322694,1.07445
49.652,10.64627,-0.04277092,0.02611072,1.07445
49.752,10.693019999999999,-0.044118,0.03127311,1.07444
49.852,10.73456,-0.04401025,0.0341604,1.07443
49.952,10.771519999999999,-0.04518709,0.0380211,1.07443
50.052,10.80598,-0.04288471,0.04236983,1.0744200000000002
50.152,10.837539999999999,-0.04231575,0.04511711,1.07441
50.252,10.86737,-0.04197583,0.04739843,1.0744
50.352,10.89564,-0.0416275,0.05101894,1.0744
50.452,10.92266,-0.04180419,0.05598137,1.07439
50.552,10.94815,-0.04224821,0.05820617,1.07438
50.652,10.97268,-0.0425961,0.05983511,1.07438
50.752,10.99611,-0.04204767,0.06352079,1.07437
50.852,11.01779,-0.04221482,0.06525061,1.07436
50.952,11.0391,-0.04282542,0.07053589,1.07435
51.052,11.06058,-0.04370842,0.07046994,1.07435
51.152,11.081539999999999,-0.04359664,0.07436226,1.07434
51.252,11.10202,-0.04322641,0.07540585,1.07433
51.352,11.12202,-0.04401789,0.07607438,1.07433
51.452,11.1417,-0.04398316,0.07885299,1.0743200000000002
51.552,11.160730000000001,-0.04310685,0.08234141,1.07431
51.652,11.17949,-0.04436973,0.08348373,1.0743
51.752,11.19792,-0.04445518,0.08868515,1.0743
51.852,11.216460000000001,-0.04389417,0.09062616,1.07429
51.952,11.2348,-0.04474797,0.09274252,1.07428
52.052,11.25265,-0.04444374,0.09364873,1.07427
52.152,11.26988,-0.04552296,0.09497623,1.07427
52.252,11.286669999999999,-0.04452587,0.0982857,1.07426
52.352,11.303360000000001,-0.04494773,0.09947103,1.07425
52.452,11.31974,-0.04432428,0.10032,1.0742399999999999
52.552,11.33585,-0.04498423,0.10520999999999998,1.0742399999999999
52.652,11.35174,-0.04412299,0.10507000000000001,1.07423
52.752,11.36767,-0.04410773,0.10694000000000001,1.0742200000000002
52.852,11.38326,-0.04413024,0.11010999999999999,1.07421
52.952,11.39873,-0.04402062,0.1103,1.07421
53.052,11.4141,-0.04463013,0.11358,1.0742
53.152,11.42923,-0.04380974,0.11435999999999999,1.07419
53.252,11.44426,-0.0451428,0.1169,1.07418
53.352,11.45907,-0.04463279,0.11861,1.07417
53.452,11.47372,-0.0448972,0.11979000000000001,1.07417
53.552,11.48835,-0.04562547,0.12153,1.07416
53.652,11.50279,-0.0442218,0.12142,1.07415
53.752,11.51711,-0.04513607,0.12405,1.0741399999999999
53.852,11.53132,-0.04492734,0.12434,1.0741399999999999
53.952,11.54543,-0.04418247,0.12717,1.07413
54.052,11.55942,-0.04530873,0.1279,1.07412
54.152,11.573189999999999,-0.04412829,0.12861,1.0741100000000001
54.252,11.586839999999999,-0.04428104,0.12954000000000002,1.0741
54.352,11.60057,-0.04457834,0.13057,1.0741
54.452,11.61408,-0.04350513,0.13316,1.07409
54.552,11.627510000000001,-0.04482588,0.13355999999999998,1.07408
54.652,11.640839999999999,-0.04535346,0.13551,1.07407
54.752,11.654060000000001,-0.0455621,0.13679000000000002,1.07406
54.852,11.66734,-0.04625054,0.13687,1.07406
54.952,11.680489999999999,-0.04716551,0.13953,1.07405
55.052,11.69353,-0.04752436,0.14071,1.0740399999999999
55.152,11.70648,-0.04784047,0.14077,1.0740299999999998
55.252,11.719439999999999,-0.04706361,0.14175,1.07402
55.352,11.732389999999999,-0.04758136,0.14520999999999998,1.0740100000000001
55.452,11.74531,-0.04753384,0.14415999999999998,1.0740100000000001
55.552,11.75818,-0.04695424,0.14477,1.074
55.652,11.77096,-0.04770684,0.14661,1.07399
55.752,11.78368,-0.04690541,0.14801,1.07398
55.852,11.79647,-0.04752983,0.14845999999999998,1.07397
55.952,11.80908,-0.04744431,0.14919000000000002,1.07396
56.052,11.821710000000001,-0.04692512,0.14837999999999998,1.07396
56.152,11.83418,-0.04693693,0.15169000000000002,1.07395
56.252,11.846639999999999,-0.04581522,0.15206,1.07394
56.352,11.8591,-0.04652415,0.15288,1.0739299999999998
56.452,11.87148,-0.04695566,0.15504,1.07392
56.552,11.88378,-0.0468727,0.15444000000000002,1.0739100000000001
56.652,11.89609,-0.04632131,0.15608,1.0739100000000001
56.752,11.9084,-0.0468617,0.15415,1.0739
56.852,11.920639999999999,-0.04694745,0.15688,1.07389
56.952,11.9327,-0.04686559,0.15644,1.07388
57.052,11.94482,-0.04667987,0.15754,1.07387
57.152,11.95685,-0.04690133,0.16011,1.07386
57.252,11.96894,-0.04652514,0.15752,1.07385
57.352,11.981,-0.04677394,0.16093,1.07385
57.452,11.993089999999999,-0.04647445,0.16111,1.07384
57.552,12.00506,-0.04519465,0.16262000000000001,1.0738299999999998
