LABORATORY,FSRI 
TEST IDENT,R13Insulation_HF50_2
OPERATOR,Dow
MATERIAL,R13 Fiberglass Insulation (pink)
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04175092279911041
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.400000095367432
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3151
TIME TO IGN,0
END OF TEST SCAN,2671
END OF TEST TIME,667.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.2 x 98.3 x 32.2 mm
POST TEST CMT,No ignition. Test ended after 10 minutes. No mass loss after 10 minutes in replicate R1. 
