LABORATORY,FSRI 
TEST IDENT,R13Insulation_HF25_1
OPERATOR,Dow
MATERIAL,R13 Fiberglass Insulation (pink)
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.041122306138277054
SPEC HOLDER DIFF,-566
SPECIMEN MASS,6.289999961853027
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7716
TIME TO IGN,0
END OF TEST SCAN,7236
END OF TEST TIME,1809
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.7 x 98.2 x 31.4 mm
POST TEST CMT,No ignition. Test ended after 30 minutes. 
