Time after Ignition,Engineered_Flooring_R1,Engineered_Flooring_R2,Engineered_Flooring_R3,Mean,Std. Dev.
0.0,1.3,18.4,16.6,12.1,9.4
0.25,4.0,23.4,19.8,15.8,10.3
0.5,6.6,27.8,22.1,18.8,11.0
0.75,8.6,32.1,29.6,23.4,12.9
1.0,10.5,42.8,36.2,29.8,17.0
1.25,12.3,51.4,41.9,35.2,20.4
1.5,14.1,60.5,47.0,40.5,23.8
1.75,18.5,65.7,51.6,45.2,24.2
2.0,22.9,76.5,60.7,53.3,27.5
2.25,26.8,86.7,69.1,60.9,30.8
2.5,29.6,93.5,77.4,66.8,33.2
2.75,32.7,102.4,82.6,72.6,35.9
3.0,35.7,109.9,89.2,78.3,38.3
3.25,40.5,117.9,98.1,85.5,40.2
3.5,39.9,124.7,106.4,90.3,44.6
3.75,45.4,131.6,112.4,96.5,45.3
4.0,48.3,137.1,120.4,101.9,47.2
4.25,53.1,144.6,128.2,108.6,48.8
4.5,59.8,149.2,137.0,115.3,48.5
4.75,64.3,155.3,143.0,120.9,49.4
5.0,68.8,155.8,152.4,125.7,49.3
5.25,73.9,166.4,154.6,131.6,50.3
5.5,82.6,165.7,158.4,135.6,46.0
5.75,89.9,167.5,162.7,140.0,43.5
6.0,97.6,171.7,170.9,146.7,42.6
6.25,103.3,173.3,173.5,150.0,40.4
6.5,110.6,180.2,176.3,155.7,39.1
6.75,120.8,178.7,176.9,158.8,32.9
7.0,131.6,177.1,181.7,163.5,27.7
7.25,136.6,181.6,183.5,167.2,26.6
7.5,143.6,184.2,184.5,170.8,23.5
7.75,152.0,182.2,184.4,172.9,18.1
8.0,157.7,186.4,192.7,178.9,18.6
8.25,162.1,185.5,189.8,179.1,14.9
8.5,165.7,186.6,190.4,180.9,13.3
8.75,169.8,187.0,190.6,182.5,11.1
9.0,179.3,188.9,193.7,187.3,7.3
9.25,179.7,189.1,190.5,186.4,5.9
9.5,187.5,187.1,190.6,188.4,1.9
9.75,185.0,185.6,192.9,187.8,4.4
10.0,190.4,184.8,189.5,188.2,3.0
10.25,189.7,189.3,193.4,190.8,2.3
10.5,198.6,184.8,190.2,191.2,7.0
10.75,198.0,182.1,187.1,189.0,8.1
11.0,204.4,182.2,191.1,192.6,11.1
11.25,204.2,183.7,191.0,192.9,10.4
11.5,205.0,183.5,191.7,193.4,10.8
11.75,205.3,180.8,186.8,190.9,12.8
12.0,207.3,181.2,188.6,192.4,13.5
12.25,208.9,181.7,187.4,192.7,14.3
12.5,214.9,176.3,188.8,193.3,19.7
12.75,205.8,174.9,186.1,188.9,15.7
13.0,207.5,174.9,184.1,188.8,16.8
13.25,207.8,172.1,185.1,188.4,18.1
13.5,209.2,173.1,184.8,189.1,18.4
13.75,209.5,170.4,182.1,187.3,20.0
14.0,207.0,168.4,181.7,185.7,19.6
14.25,205.7,170.4,183.5,186.5,17.8
14.5,203.1,165.1,182.9,183.7,19.0
14.75,203.7,168.8,184.5,185.7,17.4
15.0,204.9,166.2,182.2,184.4,19.4
15.25,200.3,166.3,178.8,181.8,17.2
15.5,196.8,167.0,182.4,182.1,14.9
15.75,197.9,165.2,182.6,181.9,16.4
16.0,194.4,165.3,183.8,181.2,14.7
16.25,192.7,163.1,181.7,179.2,15.0
16.5,192.1,163.2,180.1,178.5,14.5
16.75,194.2,162.7,180.8,179.2,15.8
17.0,188.8,161.3,182.2,177.4,14.4
17.25,191.0,161.3,178.6,177.0,14.9
17.5,186.2,159.9,178.1,174.7,13.5
17.75,185.1,163.4,177.3,175.3,11.0
18.0,181.5,163.9,176.4,173.9,9.1
18.25,181.7,162.5,178.0,174.1,10.2
18.5,182.7,158.9,179.8,173.8,13.0
18.75,176.9,160.7,176.7,171.4,9.3
19.0,176.7,160.8,179.4,172.3,10.1
19.25,173.2,162.1,175.7,170.3,7.2
19.5,171.7,161.0,177.9,170.2,8.6
19.75,171.9,160.3,175.3,169.2,7.9
20.0,173.4,161.4,175.2,170.0,7.5
20.25,169.3,162.1,174.2,168.5,6.1
20.5,170.7,160.6,173.8,168.4,6.9
20.75,167.1,159.9,176.6,167.9,8.4
21.0,164.6,161.0,175.5,167.0,7.5
21.25,166.1,162.1,175.6,167.9,6.9
21.5,164.3,159.9,174.7,166.3,7.6
21.75,161.4,160.8,176.9,166.3,9.1
22.0,165.7,160.2,175.6,167.2,7.8
22.25,159.4,163.1,171.8,164.8,6.4
22.5,158.4,162.8,170.4,163.9,6.1
22.75,158.4,159.0,172.0,163.1,7.7
23.0,157.7,159.4,169.8,162.3,6.6
23.25,158.1,162.5,170.9,163.8,6.5
23.5,158.2,164.2,168.6,163.7,5.2
23.75,160.4,163.1,166.9,163.4,3.3
