Temperature (C),R1,R2,R3
150.00,0.00,0.00,0.00
151.00,-0.15,-0.10,-0.21
152.00,-0.04,-0.09,-0.22
153.00,-0.16,-0.19,-0.10
154.00,-0.17,-0.07,-0.02
155.00,-0.12,-0.10,-0.05
156.00,-0.15,-0.01,-0.21
157.00,-0.17,-0.18,-0.10
158.00,-0.28,-0.09,0.23
159.00,-0.07,-0.23,-0.28
160.00,-0.11,-0.30,-0.03
161.00,-0.16,-0.23,-0.08
162.00,-0.19,-0.19,-0.30
163.00,-0.14,-0.25,-0.29
164.00,-0.29,-0.49,-0.29
165.00,-0.30,-0.49,-0.25
166.00,-0.43,-0.63,-0.50
167.00,-0.28,-0.45,-0.36
168.00,-0.48,-0.30,-0.18
169.00,-0.41,-0.47,-0.44
170.00,-0.31,-0.70,-0.46
171.00,-0.31,-0.68,-0.52
172.00,-0.35,-0.57,-0.65
173.00,-0.38,-0.32,-0.57
174.00,-0.26,-0.43,-0.60
175.00,-0.45,-0.44,-0.44
176.00,-0.30,-0.42,-0.47
177.00,-0.33,-0.34,-0.44
178.00,-0.34,-0.38,-0.33
179.00,-0.45,-0.35,-0.61
180.00,-0.43,-0.56,-0.58
181.00,-0.58,-0.57,-0.49
182.00,-0.52,-0.54,-0.42
183.00,-0.40,-0.52,-0.52
184.00,-0.46,-0.49,-0.58
185.00,-0.46,-0.46,-0.50
186.00,-0.56,-0.41,-0.70
187.00,-0.51,-0.38,-0.74
188.00,-0.45,-0.30,-0.68
189.00,-0.49,-0.50,-0.45
190.00,-0.44,-0.50,-0.75
191.00,-0.40,-0.64,-0.84
192.00,-0.54,-0.64,-0.89
193.00,-0.48,-0.54,-0.88
194.00,-0.52,-0.51,-0.90
195.00,-0.55,-0.68,-0.72
196.00,-0.66,-0.84,-1.06
197.00,-0.55,-0.66,-1.14
198.00,-0.58,-0.70,-0.98
199.00,-0.65,-0.81,-1.14
200.00,-0.82,-0.88,-1.07
201.00,-0.69,-0.82,-0.93
202.00,-0.66,-0.83,-1.01
203.00,-0.64,-0.88,-1.22
204.00,-0.68,-1.00,-1.06
205.00,-0.71,-0.80,-0.95
206.00,-0.74,-0.89,-0.98
