LABORATORY,FSRI 
TEST IDENT,Shingles_HF25_1
OPERATOR,Dow
MATERIAL,Fiberglass asphalt shingles
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04036645218729973
SPEC HOLDER DIFF,-566
SPECIMEN MASS,35.86000061035156
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2056
TIME TO IGN,86
END OF TEST SCAN,1576
END OF TEST TIME,394
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.89 x 101.05 x 2.50 mm
POST TEST CMT,Test picture available.
