LABORATORY,FSRI 
TEST IDENT,Homasote_HF25_R4
OPERATOR,Marino
MATERIAL,Homasote
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04058745130896568
SPEC HOLDER DIFF,-566
SPECIMEN MASS,57.93000030517578
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4233
TIME TO IGN,55.5
END OF TEST SCAN,3753
END OF TEST TIME,938.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.30 x 101.90 x 12.14 mm
POST TEST CMT,"Sample corners lifted off insulation during test, reference test picture. 3:20 sample self extinguished, spark ingitor reinserted immediately. Reignited at 7:13."
