#EXPORTTYPE,NGB PARSER
#FILE,126D_Honeywell_Helmet_Flap_STA_N2_30K_250519_R3.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,126D_Honeywell_Flap
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2025-05-19T15:54:50+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"126D Honeywell Helmet Flap, 30K
Sample vial label: ""126D_Honeywell_Helmet_Flap  April 21, 2025""
"
#SAMPLE,126D_Honeywell_Flap
#SAMPLE MASS/mg,3.99
#MATERIAL,126D_Honeywell_Flap
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,257.56
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
