LABORATORY,FSRI 
TEST IDENT,FDNY_LDF_HF25_R1
OPERATOR,Dow
MATERIAL,FDNY Low Density Fiberboard
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04248954728245735
SPEC HOLDER DIFF,-566
SPECIMEN MASS,26.649999618530273
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2074
TIME TO IGN,39
END OF TEST SCAN,1594
END OF TEST TIME,398.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.09 x 99.14 x 12.13 mm
POST TEST CMT,Sample warped at end of test forming an arched shape. See test pictures. 
