LABORATORY,FSRI 
TEST IDENT,FDNY_LDF_HF75_R1
OPERATOR,Dow
MATERIAL,FDNY Low Density Fiberboard
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.0415135882794857
SPEC HOLDER DIFF,-566
SPECIMEN MASS,26.43000030517578
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1273
TIME TO IGN,2.75
END OF TEST SCAN,793
END OF TEST TIME,198.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.87 x 99.21 x 12.07 mm; with tie wires
POST TEST CMT,Sample shrank. See post test pictures.
