0,1
#EXPORTTYPE:                 ,DATA COMPARE                                                                                                                                                                                                                                            
#FILE:                       ,PEVA_STA_N2_30K_240801_R2.ngb-ss3                                                                                                                                                                                                                       
#FORMAT:                     ,NETZSCH5                                                                                                                                                                                                                                                
#FTYPE:                      ,ANSI                                                                                                                                                                                                                                                    
#IDENTITY:                   ,PEVA_240703_0.26mm_30                                                                                                                                                                                                                                   
#DECIMAL:                    ,POINT                                                                                                                                                                                                                                                   
#SEPARATOR:                  ,COMMA                                                                                                                                                                                                                                                   
#MTYPE:                      ,DSC                                                                                                                                                                                                                                                     
#INSTRUMENT:                 ,NETZSCH STA 449F3                                                                                                                                                                                                                                       
#PROJECT:                    ,NIJ 2019                                                                                                                                                                                                                                                
#DATE/TIME:                  ,8/1/2024 12:44:25 (UTC-4)                                                                                                                                                                                                                               
#CORR. FILE:                 ,                                                                                                                                                                                                                                                        
#TEMPCAL:                    ,04-04-2024 10:57                                                                                                                                                                                                                                        
#SENSITIVITY:                ,03-04-2024 17:30                                                                                                                                                                                                                                        
#LABORATORY:                 ,UL FSRI                                                                                                                                                                                                                                                 
#OPERATOR:                   ,John                                                                                                                                                                                                                                                    
#REMARK:                     ,"PEVA shower curtain for the MAP database.  Originally designated ""PEVA_240703;""  revised to include nominal thickness to differentiate from additional samples.  Sample vial label: ""PEVA_240703 July 05"
#SAMPLE:                     ,PEVA_240703_0.26mm_30                                                                                                                                                                                                                                   
#SAMPLE MASS /mg:            ,4.04                                                                                                                                                                                                                                                    
#MATERIAL:                   ,PEVA_240703_0.26mm                                                                                                                                                                                                                                      
#REFERENCE:                  ,                                                                                                                                                                                                                                                        
#REFERENCE MASS /mg:         ,0                                                                                                                                                                                                                                                       
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,258.77                                                                                                                                                                                                                                                  
#REFERENCE CRUCIBLE MASS /mg:,258.74                                                                                                                                                                                                                                                  
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                                                                                                                                                                                                                                    
#TG RANGE /mg:               ,35000                                                                                                                                                                                                                                                   
#TAU-R:                      ,---                                                                                                                                                                                                                                                     
#CORR. CODE:                 ,000                                                                                                                                                                                                                                                     
#EXO:                        ,-1                                                                                                                                                                                                                                                      
#RANGE:                      ,50°C....750°C/0.0....30.0K/min                                                                                                                                                                                                                          
#SEGMENT:                    ,S1-3/3                                                                                                                                                                                                                                                  
#SEG. 1:                     ,50°C/00:10/50°C                                                                                                                                                                                                                                         
#SEG. 2:                     ,50°C/30.0(K/min)/750°C                                                                                                                                                                                                                                  
#SEG. 3:                     ,750°C/00:05/750°C                                                                                                                                                                                                                                       
