LABORATORY,FSRI 
TEST IDENT,Eng_Wood_Tab_HF25_R4
OPERATOR,Marino
MATERIAL,Engineered Wood Table
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0414825901389122
SPEC HOLDER DIFF,-566
SPECIMEN MASS,355.739990234375
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3523
TIME TO IGN,114.5
END OF TEST SCAN,3043
END OF TEST TIME,760.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.5 x 100.08 x 46.50 mm; with tie wires
POST TEST CMT, Sample self-extinguished with unburned mass remaining and did not reignite after the spark ignitor was re-inserted.
