LABORATORY,FSRI 
TEST IDENT,Microfiber_HF75_2
OPERATOR,Dow
MATERIAL,microfiber sheet
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.0418335497379303
SPEC HOLDER DIFF,-566
SPECIMEN MASS,4.769999980926514
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1205
TIME TO IGN,17.25
END OF TEST SCAN,725
END OF TEST TIME,181.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 105 x 105 x 0.83 mm; with frame and grid; with calcium silicate substrate; sample includs 5 layers
