#EXPORTTYPE,NGB PARSER
#FILE,126C_Honeywell_Helmet_Sticker_STA_N2_30K_250513_R3.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,126C_Honeywell_Sticker
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2025-05-13T15:46:11+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"126C Honeywell Helmet Sticker, 30K
Sample vial label: ""126C_Honeywell_Helmet_Sticker April 18, 2025""
Neon yellow/green  ish powder"
#SAMPLE,126C_Honeywell_Sticker
#SAMPLE MASS/mg,4.02
#MATERIAL,126C_Honeywell_Sticke
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,262.32000732421875
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
